Model,MAE,RMSE,Pearson,Spearman
all-MiniLM-L6-v2,0.4563048774936714,0.6061344550246794,0.7134326303179176,0.7102970628278334
ESSCAN_AAA_SBERT_STSB_V1,0.455757463547017,0.6043577186999177,0.7153527279072285,0.7130741754854556
ESSCAN_AAA_SBERT_ASAP_V2,0.4586001131477711,0.6069212679333348,0.7133787689530526,0.7116351767374851
ESSCAN_AAA_SBERT_ASAP_V3,0.4343512084783684,0.5758292069363276,0.7459157621568984,0.7403812730680048
